,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
4069,2013,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,MS Bisla,1,64,92,14,2,1.0,0.0,93.0,156.0,17.0,77.0,1.0
3574,2012,Subrata Roy Sahara Stadium,Pune,2,SR Watson,1,51,90,10,4,0.0,1.0,91.0,90.0,15.0,77.0,2.0
7396,2018,M Chinnaswamy Stadium,Bengaluru,2,Mandeep Singh,3,55,86,8,2,1.0,2.0,87.0,141.0,11.0,77.0,3.0
72,2008,"Eden Gardens, Kolkata",Kolkata,1,LR Shukla,5,63,89,10,3,3.0,2.0,90.0,110.0,14.0,77.0,3.0
3365,2012,Rajiv Gandhi International Stadium,Hyderabad,1,JP Duminy,2,62,87,6,5,1.0,1.0,88.0,149.0,12.0,77.0,2.0
225,2008,M Chinnaswamy Stadium,Bangalore,1,V Kohli,4,87,85,6,3,4.0,0.0,86.0,106.75,10.0,77.0,1.0
4655,2014,Feroz Shah Kotla,Delhi,1,KM Jadhav,5,62,88,7,5,2.0,3.0,89.0,119.0,13.0,77.0,4.0
988,2009,New Wanderers Stadium,Johannesburg,2,DA Warner,2,65,87,10,2,2.0,0.0,88.0,119.5,13.0,76.0,1.0
1395,2010,"Brabourne Stadium, Mumbai",Mumbai,1,KA Pollard,3,42,87,6,6,2.0,1.0,88.0,108.0,13.0,76.0,2.0
8209,2019,Rajiv Gandhi International Stadium,Hyderabad,1,KA Pollard,2,53,87,5,7,0.0,2.0,88.0,87.0,13.0,76.0,3.0
7344,2018,M Chinnaswamy Stadium,Bengaluru,1,C de Grandhomme,4,41,85,2,8,2.0,2.0,86.0,105.5,11.0,76.0,3.0
4712,2014,JSCA International Stadium Complex,Ranchi,2,DA Warner,1,46,90,12,3,1.0,0.0,91.0,136.0,16.0,76.0,1.0
3010,2012,Feroz Shah Kotla,Delhi,1,JD Ryder,1,58,86,7,4,1.0,0.0,87.0,144.0,12.0,76.0,1.0
6453,2017,"Eden Gardens, Kolkata",Kolkata,1,G Gambhir,4,78,86,8,3,4.0,0.0,87.0,105.5,12.0,76.0,1.0
7655,2018,Sawai Mansingh Stadium,Jaipur,2,AM Rahane,3,73,83,7,1,2.0,1.0,84.0,119.5,9.0,76.0,2.0
8139,2019,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,MA Agarwal,4,56,83,4,4,4.0,0.0,84.0,97.0,9.0,76.0,1.0
7399,2018,M Chinnaswamy Stadium,Bengaluru,2,Q de Kock,3,69,89,12,2,3.0,0.0,90.0,112.0,15.0,76.0,1.0
